mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
6.033985924720764,0.056782533148576855,0.056711649894714354,0.0049382807071327965,12,4,2,16,250,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 250}",0.9188514357053683,0.916354556803995,0.91375,0.91375,0.91375,0.915,0.9225,0.91375,0.9123904881101377,0.9161451814768461,0.915625,0.002887798612807717,1719
12.469861125946045,0.35805369060706826,0.20628709793090821,0.1355268805768808,12,4,2,16,500,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 500}",0.916354556803995,0.9188514357053683,0.91125,0.9175,0.91625,0.9175,0.92,0.915,0.9123904881101377,0.9136420525657072,0.915875,0.0026608405283849333,1696
18.58006100654602,0.39150769264022134,0.15914900302886964,0.0056133734856461765,12,4,2,16,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 750}",0.9138576779026217,0.916354556803995,0.9125,0.9175,0.91375,0.91625,0.9225,0.91625,0.9123904881101377,0.9111389236545682,0.91525,0.0031248434294268257,1743
23.87206938266754,0.10710440333299773,0.2098222017288208,0.0064065546824965776,12,4,2,16,1000,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 2, 'min_samples_split': 16, 'n_estimators': 1000}",0.9151061173533084,0.9151061173533084,0.91375,0.91375,0.91375,0.91625,0.92125,0.9125,0.9123904881101377,0.9098873591989988,0.914375,0.002838771959679831,1817
5.9570764064788815,0.060049899015622396,0.05742981433868408,0.002756397172721063,12,4,3,4,250,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 250}",0.9151061173533084,0.9176029962546817,0.9125,0.915,0.9125,0.91375,0.92125,0.9125,0.9111389236545682,0.9161451814768461,0.91475,0.002859097950906338,1789
11.879861211776733,0.10211070277258374,0.10940957069396973,0.0018947504951071859,12,4,3,4,500,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 500}",0.9126092384519351,0.9151061173533084,0.91375,0.9175,0.9125,0.9175,0.92125,0.915,0.9136420525657072,0.9123904881101377,0.915125,0.0027128521337364264,1755
17.76423397064209,0.08221620517890367,0.1623678207397461,0.004012924277429921,12,4,3,4,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 750}",0.9138576779026217,0.916354556803995,0.915,0.9175,0.9125,0.9175,0.92,0.91875,0.9111389236545682,0.9148936170212766,0.91575,0.002650126929278214,1708
23.79015510082245,0.11781470008422908,0.216577410697937,0.010482306685632376,12,4,3,4,1000,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 1000}",0.9138576779026217,0.9188514357053683,0.91375,0.9175,0.91375,0.9175,0.92,0.91625,0.9123904881101377,0.9136420525657072,0.91575,0.0024771735185169555,1708
5.9507835626602175,0.05545277540687061,0.05799245834350586,0.004012905044029599,12,4,3,7,250,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 250}",0.9176029962546817,0.916354556803995,0.9175,0.91625,0.91375,0.91875,0.9225,0.915,0.9111389236545682,0.9123904881101377,0.916125,0.003119979850483132,1674
11.97155773639679,0.100873635443997,0.1107027530670166,0.009557914544644854,12,4,3,7,500,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 500}",0.9176029962546817,0.9176029962546817,0.9125,0.91375,0.915,0.9175,0.92125,0.9175,0.9123904881101377,0.9136420525657072,0.915875,0.0027190002675292566,1696
17.994801425933836,0.0841640341239115,0.16628773212432862,0.008734251527130818,12,4,3,7,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 750}",0.916354556803995,0.9176029962546817,0.9125,0.91625,0.91625,0.91875,0.92125,0.91625,0.9123904881101377,0.9148936170212766,0.91625,0.002527271655533403,1668
23.640756916999816,0.1342323098659271,0.21239054203033447,0.006547910240887819,12,4,3,7,1000,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 1000}",0.916354556803995,0.9188514357053683,0.9125,0.91625,0.91375,0.9175,0.92125,0.915,0.9123904881101377,0.9148936170212766,0.915875,0.0026558013886337265,1696
5.906785559654236,0.028397464951217036,0.05566091537475586,0.0018326469287233583,12,4,3,10,250,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 250}",0.9176029962546817,0.9213483146067416,0.91125,0.9125,0.91625,0.9175,0.9225,0.915,0.9123904881101377,0.9173967459324155,0.916375,0.003537549075935747,1659
11.807765245437622,0.07891209933519232,0.11013281345367432,0.008135807229294368,12,4,3,10,500,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 500}",0.9151061173533084,0.9151061173533084,0.91375,0.9175,0.9125,0.9175,0.92125,0.915,0.9111389236545682,0.9123904881101377,0.915125,0.0028448482553135174,1755
17.798000073432924,0.12357228355543264,0.16442720890045165,0.010325090373287318,12,4,3,10,750,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 750}",0.916354556803995,0.9176029962546817,0.9125,0.91875,0.91375,0.915,0.92125,0.9175,0.9111389236545682,0.9123904881101377,0.915625,0.0030592930992993763,1719
23.64899182319641,0.11739281867476985,0.21360387802124023,0.009916224338901016,12,4,3,10,1000,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 1000}",0.9151061173533084,0.9176029962546817,0.91375,0.91625,0.91375,0.91625,0.92125,0.915,0.9123904881101377,0.9123904881101377,0.915375,0.002535816726095578,1731
5.871075844764709,0.026052934278464928,0.05587296485900879,0.0033545840721806576,12,4,3,13,250,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 250}",0.916354556803995,0.9188514357053683,0.91375,0.91625,0.9125,0.9175,0.91875,0.91625,0.9136420525657072,0.9136420525657072,0.91575,0.0021447062507430675,1708
11.804796719551087,0.06642210605528583,0.10583045482635497,0.0026579519521729776,12,4,3,13,500,"{'max_depth': 12, 'max_features': 4, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 500}",0.9176029962546817,0.916354556803995,0.9125,0.91625,0.9125,0.91625,0.91875,0.915,0.9123904881101377,0.9148936170212766,0.91525,0.0021094079787614675,1743
