n_estimators,max_depth,max_features,min_impurity_decrease,score
150,30,3,0.001,0.9483333333333334
150,25,3,0.001,0.9483333333333334
250,20,3,0.001,0.9480555555555555
100,20,3,0.001,0.9477777777777778
25,25,3,0.001,0.9475
25,30,3,0.001,0.9475
25,20,3,0.001,0.9475
50,10,6,0.001,0.9472222222222222
250,15,3,0.001,0.9466666666666667
200,15,3,0.001,0.9463888888888888
100,15,3,0.001,0.9455555555555556
150,15,3,0.001,0.945
50,15,3,0.001,0.9447222222222222
25,15,3,0.001,0.9408333333333333
250,10,3,0.001,0.9288888888888889
150,10,3,0.001,0.9283333333333333
200,10,3,0.001,0.9275
100,10,3,0.001,0.9275
50,10,3,0.001,0.9211111111111111
25,10,3,0.001,0.9202777777777778
