n_estimators,max_depth,max_features,min_impurity_decrease,score
150,30,24,0.001,0.9683333333333334
150,25,24,0.001,0.9683333333333334
100,15,24,0.001,0.9683333333333334
150,15,12,0.001,0.9683333333333334
100,30,24,0.001,0.9683333333333334
50,15,30,0.001,0.9680555555555556
250,20,24,0.001,0.9680555555555556
250,25,24,0.001,0.9680555555555556
250,30,24,0.001,0.9680555555555556
200,30,24,0.001,0.9677777777777777
50,15,12,0.001,0.9677777777777777
200,20,24,0.001,0.9677777777777777
200,25,24,0.001,0.9677777777777777
50,15,24,0.001,0.9675
50,25,6,0.001,0.9661111111111111
50,20,6,0.001,0.9661111111111111
50,30,6,0.001,0.9661111111111111
150,20,6,0.001,0.9661111111111111
200,30,38,0.001,0.9658333333333333
250,20,6,0.001,0.9658333333333333
200,20,38,0.001,0.9658333333333333
200,25,38,0.001,0.9658333333333333
25,15,12,0.001,0.9658333333333333
150,30,6,0.001,0.9655555555555555
150,25,6,0.001,0.9655555555555555
250,15,6,0.001,0.9652777777777778
200,15,6,0.001,0.9652777777777778
200,20,6,0.001,0.965
100,30,38,0.001,0.965
200,15,38,0.001,0.965
250,30,6,0.001,0.965
200,30,6,0.001,0.965
100,20,38,0.001,0.965
100,25,38,0.001,0.965
200,25,6,0.001,0.965
250,25,6,0.001,0.965
100,30,6,0.001,0.9647222222222223
150,20,38,0.001,0.9647222222222223
150,15,6,0.001,0.9647222222222223
150,25,38,0.001,0.9647222222222223
150,30,38,0.001,0.9647222222222223
100,25,6,0.001,0.9647222222222223
100,15,38,0.001,0.9644444444444444
100,20,6,0.001,0.9644444444444444
250,15,38,0.001,0.9641666666666666
250,30,38,0.001,0.9641666666666666
250,25,38,0.001,0.9641666666666666
250,20,38,0.001,0.9641666666666666
150,15,38,0.001,0.9638888888888889
100,15,6,0.001,0.9636111111111111
25,15,38,0.001,0.9636111111111111
25,30,38,0.001,0.9630555555555556
25,20,38,0.001,0.9630555555555556
25,25,38,0.001,0.9630555555555556
50,30,38,0.001,0.9627777777777777
50,25,38,0.001,0.9627777777777777
50,15,38,0.001,0.9627777777777777
50,20,38,0.001,0.9627777777777777
25,20,6,0.001,0.9622222222222222
25,25,6,0.001,0.9619444444444445
25,30,6,0.001,0.9619444444444445
50,15,6,0.001,0.96
25,10,24,0.001,0.9577777777777777
25,15,6,0.001,0.9577777777777777
50,10,12,0.001,0.9572222222222222
100,10,12,0.001,0.9572222222222222
25,10,12,0.001,0.9569444444444445
250,10,12,0.001,0.9566666666666667
100,10,30,0.001,0.9563888888888888
150,10,24,0.001,0.9561111111111111
150,10,12,0.001,0.9561111111111111
100,10,24,0.001,0.9561111111111111
200,10,12,0.001,0.9558333333333333
200,10,24,0.001,0.9558333333333333
250,10,24,0.001,0.9558333333333333
50,10,30,0.001,0.9558333333333333
50,25,3,0.001,0.9558333333333333
100,20,3,0.001,0.9558333333333333
50,30,3,0.001,0.9558333333333333
100,25,3,0.001,0.9555555555555556
250,20,3,0.001,0.9555555555555556
50,10,24,0.001,0.9555555555555556
250,30,3,0.001,0.9555555555555556
250,25,3,0.001,0.9555555555555556
100,30,3,0.001,0.9555555555555556
200,10,30,0.001,0.9552777777777778
50,10,38,0.001,0.955
50,20,3,0.001,0.955
25,10,30,0.001,0.9547222222222222
250,15,3,0.001,0.9544444444444444
150,10,30,0.001,0.9544444444444444
25,25,3,0.001,0.9538888888888889
25,30,3,0.001,0.9538888888888889
250,10,30,0.001,0.9538888888888889
150,25,3,0.001,0.9536111111111111
150,20,3,0.001,0.9536111111111111
150,10,38,0.001,0.9536111111111111
150,30,3,0.001,0.9536111111111111
200,20,3,0.001,0.9533333333333334
25,10,38,0.001,0.9533333333333334
100,10,38,0.001,0.9533333333333334
50,15,3,0.001,0.9533333333333334
200,30,3,0.001,0.9533333333333334
200,25,3,0.001,0.9533333333333334
25,20,3,0.001,0.9533333333333334
200,10,6,0.001,0.9527777777777777
150,15,3,0.001,0.9525
200,15,3,0.001,0.9525
250,10,38,0.001,0.9519444444444445
150,10,6,0.001,0.9519444444444445
250,10,6,0.001,0.9519444444444445
200,10,38,0.001,0.9516666666666667
100,15,3,0.001,0.9511111111111111
100,10,6,0.001,0.9508333333333333
25,15,3,0.001,0.9497222222222222
25,10,6,0.001,0.9488888888888889
50,10,6,0.001,0.9469444444444445
250,10,3,0.001,0.9355555555555556
50,10,3,0.001,0.9352777777777778
200,10,3,0.001,0.9347222222222222
150,10,3,0.001,0.9344444444444444
100,10,3,0.001,0.9336111111111111
25,10,3,0.001,0.9319444444444445
