n_estimators,max_depth,max_features,min_impurity_decrease,score
110,25,24,0.001,0.9636111111111111
110,20,24,0.001,0.9636111111111111
110,30,24,0.001,0.9636111111111111
170,15,12,0.001,0.9636111111111111
200,15,36,0.001,0.9636111111111111
250,15,36,0.001,0.9633333333333334
110,15,24,0.001,0.9630555555555556
80,15,12,0.001,0.9627777777777777
200,25,6,0.001,0.9555555555555556
200,30,6,0.001,0.9555555555555556
140,30,6,0.001,0.9552777777777778
250,20,6,0.001,0.9552777777777778
140,25,6,0.001,0.9552777777777778
170,25,6,0.001,0.9552777777777778
170,30,6,0.001,0.9552777777777778
200,10,24,0.001,0.955
200,15,6,0.001,0.9547222222222222
110,25,6,0.001,0.9547222222222222
110,30,6,0.001,0.9547222222222222
110,10,24,0.001,0.9547222222222222
200,20,6,0.001,0.9547222222222222
170,20,6,0.001,0.9547222222222222
140,20,6,0.001,0.9547222222222222
170,10,24,0.001,0.9547222222222222
200,10,30,0.001,0.9544444444444444
250,10,30,0.001,0.9544444444444444
250,25,6,0.001,0.9544444444444444
250,30,6,0.001,0.9544444444444444
140,10,24,0.001,0.9541666666666667
250,10,36,0.001,0.9541666666666667
250,10,24,0.001,0.9538888888888889
110,10,30,0.001,0.9538888888888889
80,10,24,0.001,0.9538888888888889
250,15,6,0.001,0.9538888888888889
80,20,6,0.001,0.9536111111111111
80,10,30,0.001,0.9536111111111111
170,10,30,0.001,0.9536111111111111
140,10,30,0.001,0.9536111111111111
110,10,36,0.001,0.9533333333333334
110,15,6,0.001,0.9533333333333334
170,15,6,0.001,0.9533333333333334
80,25,6,0.001,0.9533333333333334
80,30,6,0.001,0.9533333333333334
110,20,6,0.001,0.9533333333333334
140,15,6,0.001,0.9530555555555555
170,10,36,0.001,0.9530555555555555
80,10,36,0.001,0.9527777777777777
200,10,36,0.001,0.9527777777777777
80,15,6,0.001,0.9519444444444445
140,10,36,0.001,0.9519444444444445
200,10,12,0.001,0.9494444444444444
170,10,12,0.001,0.9491666666666667
110,10,12,0.001,0.9488888888888889
140,10,12,0.001,0.9488888888888889
250,10,12,0.001,0.9488888888888889
80,10,12,0.001,0.9483333333333334
80,20,3,0.001,0.9413888888888889
80,30,3,0.001,0.9405555555555556
80,25,3,0.001,0.94
170,25,3,0.001,0.9397222222222222
140,30,3,0.001,0.9397222222222222
170,30,3,0.001,0.9394444444444444
140,25,3,0.001,0.9391666666666667
