,S.temperature,diff.temperature,alpha.temperature,beta0_gsic.slr_brick,V0_gsic.slr_brick,n_gsic.slr_brick,Gs0_gsic.slr_brick,a_tee.slr_brick,a_simple.slr_brick,b_simple.slr_brick,alpha_simple.slr_brick,beta_simple.slr_brick,V0_simple.slr_brick,offset.Tgav_obs,sigma.Tgav_obs,rho.Tgav_obs,sigma.slr_gsic_obs,rho.slr_gsic_obs,sigma.slr_gis_obs,rho.slr_gis_obs,a_anto.slr_brick,b_anto.slr_brick,gamma_dais.slr_brick,alpha_dais.slr_brick,mu_dais.slr_brick,nu_dais.slr_brick,P0_dais.slr_brick,kappa_dais.slr_brick,f0_dais.slr_brick,h0_dais.slr_brick,c_dais.slr_brick,b0_dais.slr_brick,slope_dais.slr_brick,lambda_dais.slr_brick,Tcrit_dais.slr_brick,offset.ocheat_obs,sigma.ocheat_obs,rho.ocheat_obs,leaf
lrl,0.10822060353798127,0.044745057232049947,0.10718002081165452,0.01664932362122789,0.031217481789802288,0.01040582726326743,0.008324661810613945,0.037460978147762745,0.01768990634755463,0.015608740894901144,0.03433922996878252,0.019771071800208116,0.015608740894901144,0.04058272632674298,0.015608740894901144,0.022892819979188347,0.01768990634755463,0.014568158168574402,0.019771071800208116,0.018730489073881373,0.015608740894901144,0.013527575442247659,0.01768990634755463,0.01768990634755463,0.01768990634755463,0.01664932362122789,0.009365244536940686,0.01768990634755463,0.023933402705515087,0.012486992715920915,0.015608740894901144,0.009365244536940686,0.019771071800208116,0.009365244536940686,0.013527575442247659,0.0,0.0,0.0,0.1529656607700312
lrll,0.09336609336609336,0.029484029484029485,0.07002457002457002,0.01597051597051597,0.014742014742014743,0.022113022113022112,0.013513513513513514,0.03194103194103194,0.020884520884520884,0.011056511056511056,0.02457002457002457,0.025798525798525797,0.009828009828009828,0.025798525798525797,0.0171990171990172,0.013513513513513514,0.013513513513513514,0.01597051597051597,0.012285012285012284,0.028255528255528257,0.007371007371007371,0.014742014742014743,0.01597051597051597,0.014742014742014743,0.011056511056511056,0.0085995085995086,0.013513513513513514,0.013513513513513514,0.02457002457002457,0.013513513513513514,0.012285012285012284,0.014742014742014743,0.018427518427518427,0.020884520884520884,0.01597051597051597,0.0,0.0,0.0,0.2702702702702703
lrlr,0.085995085995086,0.03194103194103194,0.085995085995086,0.018427518427518427,0.018427518427518427,0.0085995085995086,0.013513513513513514,0.04791154791154791,0.01597051597051597,0.020884520884520884,0.030712530712530713,0.0171990171990172,0.013513513513513514,0.02457002457002457,0.0171990171990172,0.020884520884520884,0.014742014742014743,0.018427518427518427,0.02334152334152334,0.020884520884520884,0.012285012285012284,0.018427518427518427,0.019656019656019656,0.0171990171990172,0.009828009828009828,0.014742014742014743,0.012285012285012284,0.0171990171990172,0.022113022113022112,0.01597051597051597,0.0085995085995086,0.0171990171990172,0.01597051597051597,0.018427518427518427,0.025798525798525797,0.0,0.0,0.0,0.20515970515970516
lrr,0.09989594172736732,0.05931321540062435,0.11238293444328824,0.01768990634755463,0.014568158168574402,0.01664932362122789,0.022892819979188347,0.045785639958376693,0.014568158168574402,0.021852237252861603,0.043704474505723206,0.019771071800208116,0.013527575442247659,0.043704474505723206,0.023933402705515087,0.01768990634755463,0.009365244536940686,0.01664932362122789,0.013527575442247659,0.022892819979188347,0.013527575442247659,0.019771071800208116,0.013527575442247659,0.01768990634755463,0.011446409989594173,0.014568158168574402,0.021852237252861603,0.015608740894901144,0.018730489073881373,0.014568158168574402,0.014568158168574402,0.018730489073881373,0.02081165452653486,0.014568158168574402,0.011446409989594173,0.0,0.0,0.0,0.10822060353798127
lrrl,0.08868144690781797,0.03500583430571762,0.08051341890315053,0.028004667444574097,0.01750291715285881,0.011668611435239206,0.022170361726954493,0.03733955659276546,0.022170361726954493,0.028004667444574097,0.025670945157526253,0.01866977829638273,0.01633605600933489,0.03150525087514586,0.015169194865810968,0.012835472578763127,0.01633605600933489,0.012835472578763127,0.015169194865810968,0.01633605600933489,0.012835472578763127,0.014002333722287048,0.021003500583430573,0.008168028004667444,0.008168028004667444,0.01750291715285881,0.012835472578763127,0.022170361726954493,0.01633605600933489,0.023337222870478413,0.01633605600933489,0.007001166861143524,0.023337222870478413,0.010501750291715286,0.021003500583430573,0.0,0.0,0.0,0.21353558926487748
lrrr,0.10851808634772463,0.045507584597432905,0.09334889148191365,0.014002333722287048,0.01866977829638273,0.014002333722287048,0.01750291715285881,0.03267211201866978,0.023337222870478413,0.015169194865810968,0.028004667444574097,0.022170361726954493,0.012835472578763127,0.029171528588098017,0.028004667444574097,0.015169194865810968,0.01866977829638273,0.011668611435239206,0.022170361726954493,0.01633605600933489,0.008168028004667444,0.01866977829638273,0.012835472578763127,0.012835472578763127,0.010501750291715286,0.021003500583430573,0.01633605600933489,0.01866977829638273,0.01633605600933489,0.012835472578763127,0.012835472578763127,0.01750291715285881,0.01633605600933489,0.01750291715285881,0.01866977829638273,0.0,0.0,0.0,0.18203033838973162
r,0.151,0.098,0.133,0.022,0.035,0.013,0.014,0.085,0.031,0.037,0.058,0.026,0.004,0.025,0.03,0.017,0.015,0.03,0.004,0.021,0.008,0.004,0.009,0.012,0.009,0.003,0.014,0.007,0.007,0.017,0.006,0.007,0.01,0.019,0.007,0.0,0.0,0.0,0.012
rl,0.14676113360323886,0.07995951417004049,0.11842105263157894,0.02631578947368421,0.016194331983805668,0.020242914979757085,0.015182186234817813,0.06680161943319839,0.02631578947368421,0.025303643724696356,0.05060728744939271,0.02125506072874494,0.013157894736842105,0.044534412955465584,0.025303643724696356,0.02327935222672065,0.012145748987854251,0.01720647773279352,0.01417004048582996,0.016194331983805668,0.013157894736842105,0.012145748987854251,0.01417004048582996,0.015182186234817813,0.020242914979757085,0.01417004048582996,0.011133603238866396,0.016194331983805668,0.01417004048582996,0.00708502024291498,0.01417004048582996,0.008097165991902834,0.010121457489878543,0.016194331983805668,0.004048582995951417,0.0,0.0,0.0,0.030364372469635626
rll,0.13569937369519833,0.05010438413361169,0.10125260960334029,0.014613778705636743,0.013569937369519834,0.018789144050104383,0.012526096033402923,0.060542797494780795,0.021920668058455117,0.016701461377870562,0.020876826722338204,0.016701461377870562,0.019832985386221295,0.03444676409185804,0.026096033402922755,0.024008350730688934,0.013569937369519834,0.021920668058455117,0.015657620041753653,0.012526096033402923,0.011482254697286013,0.014613778705636743,0.012526096033402923,0.007306889352818371,0.016701461377870562,0.014613778705636743,0.008350730688935281,0.017745302713987474,0.027139874739039668,0.021920668058455117,0.011482254697286013,0.014613778705636743,0.016701461377870562,0.019832985386221295,0.005219206680584551,0.0,0.0,0.0,0.12839248434237996
rlll,0.08622754491017964,0.03473053892215569,0.08023952095808383,0.016766467065868262,0.026347305389221556,0.016766467065868262,0.011976047904191617,0.033532934131736525,0.017964071856287425,0.016766467065868262,0.022754491017964073,0.02035928143712575,0.013173652694610778,0.019161676646706587,0.019161676646706587,0.019161676646706587,0.010778443113772455,0.02035928143712575,0.011976047904191617,0.017964071856287425,0.008383233532934131,0.01437125748502994,0.017964071856287425,0.017964071856287425,0.019161676646706587,0.013173652694610778,0.01437125748502994,0.009580838323353293,0.023952095808383235,0.013173652694610778,0.010778443113772455,0.01437125748502994,0.008383233532934131,0.011976047904191617,0.010778443113772455,0.0,0.0,0.0,0.2754491017964072
