0,1,2,3,4,5,6,7,8,9,10,11
-16.209593772888184,-15.901512145996094,-15.379441261291504,-14.513660430908203,-16.088476181030273,-15.468888759613037,,,,,,
-16.211048126220703,-16.067111015319824,-16.05979824066162,-15.602534770965576,-16.06058979034424,-15.948373794555664,-15.173768997192383,,,,,
-15.305817127227783,-15.210643291473389,-15.996779918670654,-15.402253150939941,,,,,,,,
-15.600220680236816,-15.723219394683838,-16.20016098022461,-15.379377841949463,-15.707252502441406,-15.043383598327637,,,,,,
-15.512219429016113,-14.871131420135498,-15.042730331420898,,,,,,,,,
-15.893159866333008,-16.183197021484375,-15.696304321289062,-15.36374568939209,,,,,,,,
-15.228438377380371,-14.82242488861084,,,,,,,,,,
-15.43217945098877,-15.124382972717285,-15.849136352539062,,,,,,,,,
-15.19200325012207,-15.511611938476562,-15.68089485168457,-15.415652751922607,,,,,,,,
-15.73385763168335,-15.78883695602417,,,,,,,,,,
-15.915409564971924,-16.052319526672363,-14.91292428970337,-15.072186470031738,-15.927038669586182,-16.00938129425049,,,,,,
-15.699962615966797,-15.234684944152832,-15.48548173904419,-15.679893970489502,,,,,,,,
-15.59940767288208,-15.558872699737549,-15.391866683959961,-15.813734531402588,-15.23448896408081,,,,,,,
-15.57487678527832,-15.251753330230713,-15.458171844482422,,,,,,,,,
-15.791858673095703,-14.929909229278564,-15.748143672943115,-15.862652778625488,-16.06238555908203,,,,,,,
-15.703796863555908,-16.04407501220703,-15.730630874633789,-15.501168251037598,,,,,,,,
-15.68489122390747,-15.24610424041748,-15.565797805786133,,,,,,,,,
-15.8251633644104,-16.131699562072754,-15.766331672668457,-16.147700309753418,-15.155086040496826,-15.748429298400879,,,,,,
-16.117965698242188,-15.699996948242188,-15.696465492248535,-15.356925964355469,-15.835179805755615,-15.427591323852539,-15.777063846588135,-16.196731567382812,-16.147363662719727,-14.847658634185791,-15.447950839996338,
-16.186355590820312,-15.15058183670044,-15.281661033630371,-15.800218105316162,-15.501925945281982,,,,,,,
-14.57661485671997,-15.044464588165283,-15.888909339904785,-15.758895874023438,-15.976723194122314,-15.893247127532959,-15.243803024291992,,,,,
-15.682237148284912,-15.457691669464111,-15.224150657653809,-15.510738372802734,-15.647826671600342,-15.691884517669678,,,,,,
-15.38431453704834,-15.36307144165039,-15.684850692749023,-16.20965003967285,-15.210034847259521,-15.68050765991211,,,,,,
-15.20445728302002,-15.508562088012695,-15.287390232086182,-15.650312423706055,-15.123986721038818,-15.840399742126465,-14.9960355758667,,,,,
-16.017560958862305,-15.31354808807373,-15.255938529968262,,,,,,,,,
