Estimator,Depth 0,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,Depth 8,Depth 9,Depth 10,Depth 11,Depth 12
325,"('beta0_gsic.slr_brick', 0.0010309600038453937)","('diff.temperature', 1.5046364665031433)","('offset.Tgav_obs', -0.02852292452007532)","('alpha.temperature', 0.875974178314209)","('S.temperature', 5.269840478897095)","('f0_dais.slr_brick', 0.7084105908870697)","('rho.slr_gsic_obs', 0.6786076426506042)","('kappa_dais.slr_brick', 0.08289766311645508)","('mu_dais.slr_brick', 13.338407039642334)","('a_tee.slr_brick', 0.10588997602462769)",,,
326,"('alpha.temperature', 0.9844066500663757)","('alpha.temperature', 1.19417804479599)","('a_tee.slr_brick', 0.08331069350242615)","('alpha_simple.slr_brick', 0.0002745695965131745)","('diff.temperature', 1.9105811715126038)","('beta0_gsic.slr_brick', 0.001356059277895838)","('b_simple.slr_brick', 7.576361656188965)","('alpha_simple.slr_brick', 0.0006649977003689855)","('a_anto.slr_brick', 0.08793959394097328)","('alpha.temperature', 1.1376277804374695)",,,
327,"('S.temperature', 3.247660517692566)","('alpha_simple.slr_brick', 0.0003435340040596202)","('slope_dais.slr_brick', 0.0005627594073303044)","('b_simple.slr_brick', 7.656835556030273)","('a_anto.slr_brick', 0.21077649295330048)","('beta0_gsic.slr_brick', 0.0007390511455014348)","('b_simple.slr_brick', 7.73129940032959)","('beta0_gsic.slr_brick', 0.0006668383430223912)","('offset.Tgav_obs', -0.023025715723633766)",,,,
328,"('S.temperature', 2.840584635734558)","('sigma.slr_gsic_obs', 0.000280685824691318)","('b_simple.slr_brick', 7.574103355407715)","('alpha.temperature', 1.0540701150894165)","('a_simple.slr_brick', -1.7895490527153015)","('mu_dais.slr_brick', 11.087418556213379)","('offset.Tgav_obs', -0.025919015519320965)","('offset.Tgav_obs', -0.01794587541371584)","('S.temperature', 4.151950120925903)",,,,
329,"('h0_dais.slr_brick', 1465.2990112304688)","('b_anto.slr_brick', 1.2338536381721497)","('slope_dais.slr_brick', 0.0005265799118205905)","('offset.Tgav_obs', -0.04411928914487362)","('diff.temperature', 1.8210031390190125)",,,,,,,,
330,"('b_simple.slr_brick', 7.458641290664673)","('V0_simple.slr_brick', 7.180861234664917)","('slope_dais.slr_brick', 0.00056901850621216)","('alpha.temperature', 0.9903123080730438)","('h0_dais.slr_brick', 2155.271484375)","('a_tee.slr_brick', 0.09922165423631668)","('b_simple.slr_brick', 7.822981357574463)","('b0_dais.slr_brick', 757.9583740234375)","('alpha_simple.slr_brick', 0.0005306332022882998)","('gamma_dais.slr_brick', 3.887883424758911)",,,
331,"('diff.temperature', 2.651146411895752)","('alpha.temperature', 0.9877718091011047)","('beta0_gsic.slr_brick', 0.0008080471016000956)","('Tcrit_dais.slr_brick', -16.02873134613037)","('V0_gsic.slr_brick', 0.36899903416633606)","('offset.Tgav_obs', -0.0067953914403915405)","('alpha_simple.slr_brick', 0.0005442585097625852)","('diff.temperature', 3.519493579864502)","('f0_dais.slr_brick', 0.9977559149265289)",,,,
332,"('alpha.temperature', 0.9688652753829956)","('gamma_dais.slr_brick', 4.222523927688599)","('a_tee.slr_brick', 0.08443929255008698)","('P0_dais.slr_brick', 0.2195781096816063)","('b_anto.slr_brick', 0.05082721635699272)","('S.temperature', 3.7068876028060913)","('sigma.slr_gis_obs', 0.0002596554550109431)","('diff.temperature', 2.114708662033081)","('beta0_gsic.slr_brick', 0.0008024530543480068)","('a_tee.slr_brick', 0.11443620547652245)","('V0_gsic.slr_brick', 0.39275088906288147)","('alpha_simple.slr_brick', 0.0008377433405257761)","('lambda_dais.slr_brick', 0.012366490438580513)"
333,"('S.temperature', 2.8726764917373657)","('b_simple.slr_brick', 7.5676491260528564)","('a_anto.slr_brick', 0.532991886138916)","('P0_dais.slr_brick', 0.47208403050899506)","('n_gsic.slr_brick', 0.7110469043254852)","('a_tee.slr_brick', 0.10513576120138168)","('slope_dais.slr_brick', 0.0006800842238590121)","('rho.slr_gis_obs', 0.9262498617172241)","('nu_dais.slr_brick', 0.013243617955595255)",,,,
334,"('rho.slr_gis_obs', 0.9750447571277618)","('kappa_dais.slr_brick', 0.08474113047122955)","('rho.slr_gis_obs', 0.9746485650539398)","('a_simple.slr_brick', -1.3401153087615967)","('S.temperature', 3.2470614910125732)","('kappa_dais.slr_brick', 0.07934645190834999)","('rho.slr_gsic_obs', 0.7988362312316895)","('a_anto.slr_brick', 0.7274351716041565)","('beta0_gsic.slr_brick', 0.0008557067485526204)","('a_tee.slr_brick', 0.1023627445101738)",,,
