Estimator,Depth 0,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,Depth 8,Depth 9,Depth 10,Depth 11,Depth 12
444,"('beta0_gsic.slr_brick', 0.0008847231511026621)","('a_tee.slr_brick', 0.09561271965503693)",,,,,,,,,,,
445,"('c_dais.slr_brick', 126.06421279907227)","('diff.temperature', 1.8124701976776123)","('c_dais.slr_brick', 125.89827728271484)","('slope_dais.slr_brick', 0.0005892996559850872)","('beta0_gsic.slr_brick', 0.001053334039170295)","('S.temperature', 3.3592103719711304)","('S.temperature', 4.1946375370025635)","('S.temperature', 4.245485544204712)","('a_simple.slr_brick', -1.530531883239746)","('beta_simple.slr_brick', 8.299327237182297e-05)","('rho.slr_gis_obs', 0.9283935129642487)","('b_anto.slr_brick', 0.23726622015237808)",
446,"('alpha.temperature', 1.002127766609192)","('sigma.Tgav_obs', 0.07225632295012474)","('n_gsic.slr_brick', 0.9555095434188843)","('alpha.temperature', 1.1412081122398376)","('a_tee.slr_brick', 0.09430475160479546)","('V0_gsic.slr_brick', 0.4602336883544922)","('a_anto.slr_brick', 0.6548453271389008)","('alpha_dais.slr_brick', 0.6543721258640289)","('a_simple.slr_brick', -3.3099089860916138)","('diff.temperature', 3.847461223602295)","('a_simple.slr_brick', -1.2054678797721863)","('alpha_simple.slr_brick', 0.0003852558584185317)",
447,"('diff.temperature', 1.0633412599563599)","('alpha.temperature', 0.9903154373168945)","('a_tee.slr_brick', 0.0955035537481308)","('rho.slr_gsic_obs', 0.6731142699718475)","('b_simple.slr_brick', 7.388310670852661)","('S.temperature', 4.217534780502319)","('P0_dais.slr_brick', 0.4817127287387848)","('rho.slr_gis_obs', 0.9607254862785339)","('sigma.slr_gsic_obs', 0.0005808587884530425)","('c_dais.slr_brick', 69.6966323852539)",,,
448,"('S.temperature', 2.8726764917373657)","('slope_dais.slr_brick', 0.0006256051128730178)","('alpha.temperature', 0.9937472641468048)","('h0_dais.slr_brick', 994.860107421875)","('c_dais.slr_brick', 135.04671478271484)","('a_simple.slr_brick', -2.374652624130249)","('Tcrit_dais.slr_brick', -15.613969802856445)","('n_gsic.slr_brick', 0.9330630302429199)","('P0_dais.slr_brick', 0.789569616317749)","('sigma.slr_gis_obs', 0.00020209255308145657)",,,
449,"('alpha.temperature', 0.9795762002468109)","('b_simple.slr_brick', 7.434814453125)","('slope_dais.slr_brick', 0.0006266863201744854)","('rho.slr_gsic_obs', 0.9776067435741425)","('S.temperature', 6.984344005584717)",,,,,,,,
450,"('beta0_gsic.slr_brick', 0.000879696337506175)","('alpha.temperature', 0.9899458587169647)","('a_simple.slr_brick', -1.1167736649513245)","('diff.temperature', 1.973267912864685)","('alpha_simple.slr_brick', 0.0004831485857721418)","('diff.temperature', 3.46713125705719)",,,,,,,
451,"('S.temperature', 2.8723984956741333)","('alpha.temperature', 1.147422194480896)","('a_tee.slr_brick', 0.12224531173706055)","('a_simple.slr_brick', -1.9314997792243958)","('a_tee.slr_brick', 0.1465989276766777)","('sigma.slr_gsic_obs', 0.0006324678543023765)","('alpha_simple.slr_brick', 0.00016456597222713754)","('rho.slr_gis_obs', 0.8721103072166443)","('P0_dais.slr_brick', 0.30470116436481476)",,,,
452,"('P0_dais.slr_brick', 0.2938901484012604)","('a_tee.slr_brick', 0.10464781522750854)","('f0_dais.slr_brick', 1.165902316570282)",,,,,,,,,,
453,"('a_simple.slr_brick', -0.8668272793292999)","('S.temperature', 2.730543613433838)","('alpha.temperature', 0.998703271150589)","('a_tee.slr_brick', 0.10260142385959625)",,,,,,,,,
454,"('mu_dais.slr_brick', 11.35929012298584)","('diff.temperature', 1.2638288736343384)","('S.temperature', 2.8401999473571777)","('nu_dais.slr_brick', 0.013095913920551538)","('beta0_gsic.slr_brick', 0.0006138455937616527)","('slope_dais.slr_brick', 0.0005507189780473709)","('sigma.Tgav_obs', 0.06633289530873299)","('b_anto.slr_brick', 1.8665454983711243)","('alpha_dais.slr_brick', 0.028883174993097782)",,,,
455,"('slope_dais.slr_brick', 0.0005628131038974971)","('S.temperature', 3.19510018825531)","('a_tee.slr_brick', 0.10040703415870667)","('rho.Tgav_obs', 0.40577083826065063)",,,,,,,,,
456,"('alpha.temperature', 0.9702275395393372)","('b_simple.slr_brick', 7.649810552597046)","('diff.temperature', 1.9120628833770752)","('slope_dais.slr_brick', 0.0005688750534318388)","('beta0_gsic.slr_brick', 0.0009550604445394129)","('alpha_dais.slr_brick', 0.7086631655693054)","('alpha_simple.slr_brick', 0.0004725884209619835)","('alpha.temperature', 1.170311450958252)","('c_dais.slr_brick', 123.56441116333008)","('a_simple.slr_brick', -1.7441598773002625)","('n_gsic.slr_brick', 0.7668289244174957)","('V0_simple.slr_brick', 7.35897421836853)",
457,"('beta0_gsic.slr_brick', 0.0008926515292841941)","('b_simple.slr_brick', 7.645594120025635)","('rho.slr_gis_obs', 0.9657076299190521)",,,,,,,,,,
458,"('alpha.temperature', 0.8216203451156616)","('alpha.temperature', 1.1570020914077759)","('slope_dais.slr_brick', 0.0005638949514832348)","('b_simple.slr_brick', 7.5676491260528564)","('S.temperature', 2.8738569021224976)","('S.temperature', 3.648450493812561)","('a_anto.slr_brick', 0.2937590032815933)","('gamma_dais.slr_brick', 0.6977601051330566)","('rho.slr_gsic_obs', 0.6386930346488953)","('beta0_gsic.slr_brick', 0.0012516712304204702)","('a_tee.slr_brick', 0.09338439255952835)","('c_dais.slr_brick', 53.88067436218262)",
459,"('S.temperature', 2.751071333885193)","('a_anto.slr_brick', 0.5423081517219543)","('S.temperature', 5.818907737731934)","('P0_dais.slr_brick', 0.23068823665380478)","('a_tee.slr_brick', 0.0842319168150425)","('alpha_simple.slr_brick', 0.000591706542763859)","('beta_simple.slr_brick', 0.0003445329930400476)",,,,,,
460,"('a_anto.slr_brick', 0.5640040636062622)","('nu_dais.slr_brick', 0.01496493211016059)","('sigma.slr_gis_obs', 0.00024114493862725794)","('beta0_gsic.slr_brick', 0.0008885788556654006)","('a_tee.slr_brick', 0.08742539212107658)","('rho.slr_gis_obs', 0.9637456238269806)","('rho.slr_gsic_obs', 0.6866554617881775)","('S.temperature', 4.092600345611572)","('beta0_gsic.slr_brick', 0.0009033579262904823)","('a_anto.slr_brick', 0.11400285735726357)","('gamma_dais.slr_brick', 3.426324963569641)","('V0_simple.slr_brick', 7.475558757781982)",
461,"('S.temperature', 3.256840229034424)","('a_anto.slr_brick', 0.4917465001344681)","('b_simple.slr_brick', 7.619852066040039)","('S.temperature', 4.152004957199097)","('h0_dais.slr_brick', 1477.7725219726562)","('kappa_dais.slr_brick', 0.030056706629693508)","('rho.Tgav_obs', 0.3699244409799576)","('offset.Tgav_obs', -0.03166745416820049)","('rho.slr_gsic_obs', 0.7477923631668091)",,,,
462,"('diff.temperature', 1.8210309147834778)","('S.temperature', 3.704042673110962)","('beta0_gsic.slr_brick', 0.0007751674856990576)","('a_tee.slr_brick', 0.10489571839570999)",,,,,,,,,
463,"('a_tee.slr_brick', 0.09914029389619827)","('S.temperature', 2.8646751642227173)","('a_tee.slr_brick', 0.15155158936977386)","('n_gsic.slr_brick', 0.8773990273475647)","('a_anto.slr_brick', 0.21046481281518936)","('gamma_dais.slr_brick', 1.0615209341049194)","('alpha.temperature', 0.9842026233673096)","('beta0_gsic.slr_brick', 0.0010036086314357817)","('kappa_dais.slr_brick', 0.0809260904788971)","('Gs0_gsic.slr_brick', 0.0022230809554457664)","('rho.slr_gis_obs', 0.9087969958782196)","('rho.slr_gsic_obs', 0.6298559308052063)",
464,"('a_tee.slr_brick', 0.09364142641425133)","('beta0_gsic.slr_brick', 0.0008999775454867631)",,,,,,,,,,,
465,"('alpha.temperature', 0.8082126080989838)","('P0_dais.slr_brick', 0.3086143583059311)","('b_simple.slr_brick', 7.662720680236816)","('a_tee.slr_brick', 0.11236423999071121)","('S.temperature', 3.421883702278137)","('S.temperature', 3.4611752033233643)",,,,,,,
466,"('V0_gsic.slr_brick', 0.49730047583580017)","('c_dais.slr_brick', 126.11611557006836)","('rho.slr_gsic_obs', 0.7897909283638)","('S.temperature', 3.2430028915405273)","('diff.temperature', 1.673340916633606)","('a_tee.slr_brick', 0.08942002803087234)","('alpha_dais.slr_brick', 0.2608116567134857)","('a_anto.slr_brick', 0.23107854276895523)",,,,,
467,"('P0_dais.slr_brick', 0.2938901484012604)","('S.temperature', 3.0077942609786987)","('alpha_simple.slr_brick', 0.0003714375488925725)","('kappa_dais.slr_brick', 0.06269975937902927)",,,,,,,,,
468,"('a_simple.slr_brick', -0.9837365746498108)","('S.temperature', 2.730543613433838)","('rho.slr_gis_obs', 0.9375035762786865)","('alpha.temperature', 0.8166022300720215)","('a_simple.slr_brick', -1.3897913694381714)","('alpha_simple.slr_brick', 0.00040941131010185927)","('beta0_gsic.slr_brick', 0.001065606251358986)",,,,,,
469,"('diff.temperature', 1.8548378348350525)","('h0_dais.slr_brick', 1772.896728515625)","('alpha.temperature', 1.1621432900428772)","('a_tee.slr_brick', 0.10457314550876617)","('gamma_dais.slr_brick', 3.265899896621704)",,,,,,,,
470,"('alpha.temperature', 0.9795762002468109)","('a_tee.slr_brick', 0.10430311411619186)","('c_dais.slr_brick', 117.78566360473633)",,,,,,,,,,
471,"('beta0_gsic.slr_brick', 0.0009003642771858722)","('alpha.temperature', 0.9200067818164825)","('P0_dais.slr_brick', 0.20452049374580383)","('alpha.temperature', 1.1672107577323914)","('diff.temperature', 2.2460399866104126)","('mu_dais.slr_brick', 12.31800127029419)",,,,,,,
472,"('diff.temperature', 1.857698380947113)","('a_tee.slr_brick', 0.09562881290912628)","('alpha.temperature', 0.9990403056144714)","('beta0_gsic.slr_brick', 0.0011817950871773064)","('P0_dais.slr_brick', 0.1980912908911705)","('alpha_dais.slr_brick', 0.6506216824054718)",,,,,,,
473,"('S.temperature', 2.8723984956741333)","('a_anto.slr_brick', 0.4184538722038269)","('beta0_gsic.slr_brick', 0.0009171572455670685)","('rho.Tgav_obs', 0.3849737048149109)","('S.temperature', 4.845275640487671)","('offset.Tgav_obs', -0.028914091177284718)","('beta0_gsic.slr_brick', 0.0006717807555105537)","('a_tee.slr_brick', 0.08259826526045799)",,,,,
474,"('diff.temperature', 1.8403968214988708)","('S.temperature', 3.653212308883667)","('slope_dais.slr_brick', 0.0005687121592927724)","('slope_dais.slr_brick', 0.0006971074035391212)","('mu_dais.slr_brick', 11.65492582321167)","('a_tee.slr_brick', 0.0991654172539711)","('Gs0_gsic.slr_brick', 0.0015925439074635506)","('alpha_simple.slr_brick', 0.0001805866340873763)","('Gs0_gsic.slr_brick', -0.0006083289626985788)","('beta0_gsic.slr_brick', 0.000750882871216163)",,,
475,"('S.temperature', 2.7306361198425293)","('sigma.Tgav_obs', 0.07228399068117142)","('h0_dais.slr_brick', 1633.7893676757812)","('a_tee.slr_brick', 0.19653329998254776)","('a_simple.slr_brick', -1.3038159608840942)",,,,,,,,
476,"('a_tee.slr_brick', 0.08884202688932419)",,,,,,,,,,,,
477,"('rho.slr_gis_obs', 0.9479480385780334)","('a_anto.slr_brick', 0.5992319881916046)","('S.temperature', 3.6381194591522217)","('a_tee.slr_brick', 0.1046961359679699)","('sigma.slr_gsic_obs', 0.0004916941979900002)","('S.temperature', 6.033611536026001)","('V0_simple.slr_brick', 7.231136083602905)","('alpha.temperature', 1.2101395726203918)",,,,,
478,"('S.temperature', 2.8723984956741333)","('P0_dais.slr_brick', 0.21954252570867538)","('b_simple.slr_brick', 7.429383277893066)","('beta0_gsic.slr_brick', 0.0008539091504644603)","('S.temperature', 3.648450493812561)","('Tcrit_dais.slr_brick', -15.706065654754639)","('h0_dais.slr_brick', 1469.64013671875)","('a_tee.slr_brick', 0.11288212239742279)","('c_dais.slr_brick', 93.26480484008789)","('rho.slr_gsic_obs', 0.8983581960201263)",,,
479,"('S.temperature', 2.796627402305603)","('S.temperature', 5.621755123138428)","('beta0_gsic.slr_brick', 0.0008601934532634914)","('mu_dais.slr_brick', 11.281250953674316)","('slope_dais.slr_brick', 0.0005661701725330204)","('rho.slr_gis_obs', 0.9250529110431671)",,,,,,,
480,"('P0_dais.slr_brick', 0.26634569466114044)","('n_gsic.slr_brick', 0.9285203814506531)","('diff.temperature', 1.1154089570045471)","('slope_dais.slr_brick', 0.0005256136355455965)","('a_tee.slr_brick', 0.08812440186738968)",,,,,,,,
481,"('a_tee.slr_brick', 0.10040773823857307)","('diff.temperature', 1.878372609615326)","('b_simple.slr_brick', 7.589353561401367)","('beta0_gsic.slr_brick', 0.0011822133092209697)",,,,,,,,,
482,"('alpha.temperature', 0.8082126080989838)","('P0_dais.slr_brick', 0.22517771273851395)","('diff.temperature', 1.018736720085144)","('b_simple.slr_brick', 7.575006723403931)","('b0_dais.slr_brick', 753.6755981445312)","('gamma_dais.slr_brick', 2.369106888771057)","('gamma_dais.slr_brick', 0.6290302872657776)","('slope_dais.slr_brick', 0.0005912409105803818)","('offset.Tgav_obs', -0.021457549184560776)","('offset.Tgav_obs', -0.023670564405620098)",,,
483,"('slope_dais.slr_brick', 0.000599502440309152)","('a_anto.slr_brick', 0.45879556238651276)","('alpha.temperature', 0.9703592360019684)","('beta0_gsic.slr_brick', 0.0009037951822392642)",,,,,,,,,
484,"('slope_dais.slr_brick', 0.0005608389619737864)","('slope_dais.slr_brick', 0.0007029613188933581)","('S.temperature', 3.247749447822571)","('a_anto.slr_brick', 0.5054348111152649)","('sigma.slr_gis_obs', 0.00017686466162558645)","('a_tee.slr_brick', 0.11241647973656654)","('h0_dais.slr_brick', 2094.1243896484375)",,,,,,
485,"('beta0_gsic.slr_brick', 0.0010301613947376609)","('h0_dais.slr_brick', 1368.018310546875)","('a_anto.slr_brick', 0.43689674139022827)","('b_simple.slr_brick', 8.427582263946533)","('alpha.temperature', 0.8124666213989258)","('alpha.temperature', 1.14180988073349)","('P0_dais.slr_brick', 0.27524271607398987)","('diff.temperature', 2.2064013481140137)","('Tcrit_dais.slr_brick', -15.897089958190918)","('alpha_dais.slr_brick', 0.7557362020015717)","('b0_dais.slr_brick', 811.6153564453125)","('a_tee.slr_brick', 0.12549830228090286)",
486,"('diff.temperature', 1.628426969051361)","('slope_dais.slr_brick', 0.0005692630948033184)","('a_tee.slr_brick', 0.12861907482147217)","('diff.temperature', 2.615249514579773)","('mu_dais.slr_brick', 13.460137367248535)","('rho.slr_gis_obs', 0.948830246925354)","('a_tee.slr_brick', 0.08446304872632027)","('diff.temperature', 3.509700059890747)",,,,,
487,"('h0_dais.slr_brick', 1754.6117553710938)","('slope_dais.slr_brick', 0.000565296970307827)","('alpha_dais.slr_brick', 0.06433193385601044)","('a_simple.slr_brick', -1.430565059185028)","('S.temperature', 2.840584635734558)",,,,,,,,
488,"('rho.slr_gsic_obs', 0.9562964737415314)","('alpha.temperature', 1.1471598148345947)","('a_anto.slr_brick', 0.2942149341106415)","('beta0_gsic.slr_brick', 0.0008819498179946095)","('nu_dais.slr_brick', 0.0035999477840960026)","('f0_dais.slr_brick', 1.1368396282196045)",,,,,,,
489,"('Tcrit_dais.slr_brick', -16.200200080871582)","('slope_dais.slr_brick', 0.0005989751953165978)","('diff.temperature', 1.002710998058319)","('alpha_dais.slr_brick', 0.06841447204351425)","('a_tee.slr_brick', 0.2000838741660118)",,,,,,,,
490,"('mu_dais.slr_brick', 11.33735990524292)","('alpha.temperature', 0.9842444360256195)","('alpha.temperature', 1.1472447514533997)","('rho.slr_gis_obs', 0.9649903178215027)","('sigma.Tgav_obs', 0.06771333143115044)","('alpha_simple.slr_brick', 0.0007363262120634317)","('a_anto.slr_brick', 0.9230783879756927)","('V0_simple.slr_brick', 7.347659349441528)",,,,,
491,"('gamma_dais.slr_brick', 0.6557047665119171)","('a_simple.slr_brick', -0.9891222417354584)","('h0_dais.slr_brick', 1488.2609252929688)","('a_tee.slr_brick', 0.08330609276890755)","('mu_dais.slr_brick', 12.236181735992432)","('offset.Tgav_obs', 0.029725242406129837)","('alpha.temperature', 0.9587140083312988)","('b_simple.slr_brick', 7.616842985153198)","('a_tee.slr_brick', 0.12143300846219063)",,,,
492,"('rho.slr_gsic_obs', 0.9560582637786865)","('S.temperature', 2.8722753524780273)","('beta0_gsic.slr_brick', 0.0007295047107618302)","('mu_dais.slr_brick', 13.447050094604492)","('alpha_simple.slr_brick', 0.0006536510190926492)","('S.temperature', 3.732053279876709)","('slope_dais.slr_brick', 0.0006368254544213414)","('a_simple.slr_brick', -0.7173233330249786)","('gamma_dais.slr_brick', 1.0317301154136658)","('rho.Tgav_obs', 0.42713697254657745)","('n_gsic.slr_brick', 0.7855310142040253)","('c_dais.slr_brick', 120.35586166381836)","('beta0_gsic.slr_brick', 0.000796370004536584)"
493,"('beta0_gsic.slr_brick', 0.0007695476524531841)","('a_tee.slr_brick', 0.08316895738244057)","('b_simple.slr_brick', 7.647474050521851)","('alpha.temperature', 0.9906909763813019)","('h0_dais.slr_brick', 1968.8793334960938)","('alpha_dais.slr_brick', 0.1209019124507904)","('a_anto.slr_brick', 0.1821378543972969)","('n_gsic.slr_brick', 0.6122290790081024)","('rho.slr_gsic_obs', 0.6743694543838501)","('b_anto.slr_brick', 1.197931170463562)","('a_simple.slr_brick', -3.365825891494751)","('nu_dais.slr_brick', 0.01027230080217123)",
494,"('diff.temperature', 1.8531442284584045)","('alpha_dais.slr_brick', 0.7852904796600342)","('beta0_gsic.slr_brick', 0.0008497000962961465)","('S.temperature', 4.207034587860107)","('alpha_dais.slr_brick', 0.13903458416461945)","('rho.slr_gis_obs', 0.9574032723903656)","('Gs0_gsic.slr_brick', 0.0011022370890714228)","('a_tee.slr_brick', 0.14028042554855347)","('Gs0_gsic.slr_brick', 0.001492789713665843)",,,,
495,"('nu_dais.slr_brick', 0.010288874618709087)","('a_tee.slr_brick', 0.09505657106637955)","('nu_dais.slr_brick', 0.010681930463761091)","('alpha.temperature', 0.9392233788967133)","('n_gsic.slr_brick', 0.8707514107227325)",,,,,,,,
496,"('S.temperature', 2.882570266723633)","('slope_dais.slr_brick', 0.0005987471377011389)","('alpha.temperature', 1.1639264225959778)","('alpha_simple.slr_brick', 0.0005484761204570532)","('a_tee.slr_brick', 0.12186271324753761)","('rho.slr_gis_obs', 0.9628345966339111)","('sigma.slr_gsic_obs', 0.00031463586492463946)",,,,,,
497,"('S.temperature', 2.8644096851348877)","('alpha_simple.slr_brick', 0.00021189700782997534)","('a_tee.slr_brick', 0.10040950030088425)","('S.temperature', 7.3927130699157715)",,,,,,,,,
498,"('b_simple.slr_brick', 7.612186908721924)","('slope_dais.slr_brick', 0.0005989575874991715)","('diff.temperature', 1.0189553499221802)","('S.temperature', 3.2978698015213013)","('b_anto.slr_brick', 0.879707545042038)","('alpha.temperature', 0.9941909909248352)","('b0_dais.slr_brick', 758.1567687988281)","('sigma.slr_gsic_obs', 0.00043758349784184247)","('diff.temperature', 2.3129920959472656)","('a_anto.slr_brick', 0.46620920300483704)",,,
499,"('a_anto.slr_brick', 0.6657838821411133)","('beta0_gsic.slr_brick', 0.0008571700600441545)","('rho.slr_gis_obs', 0.94795361161232)","('Tcrit_dais.slr_brick', -14.428361892700195)","('sigma.slr_gis_obs', 0.00016323943418683484)","('beta0_gsic.slr_brick', 0.0007427634845953435)","('S.temperature', 2.838038444519043)","('alpha_dais.slr_brick', 0.14415698498487473)","('beta_simple.slr_brick', 0.00024935376131907105)","('gamma_dais.slr_brick', 0.9311239123344421)",,,
