,S.temperature,diff.temperature,alpha.temperature,beta0_gsic.slr_brick,V0_gsic.slr_brick,n_gsic.slr_brick,Gs0_gsic.slr_brick,a_tee.slr_brick,a_simple.slr_brick,b_simple.slr_brick,alpha_simple.slr_brick,beta_simple.slr_brick,V0_simple.slr_brick,offset.Tgav_obs,sigma.Tgav_obs,rho.Tgav_obs,sigma.slr_gsic_obs,rho.slr_gsic_obs,sigma.slr_gis_obs,rho.slr_gis_obs,a_anto.slr_brick,b_anto.slr_brick,gamma_dais.slr_brick,alpha_dais.slr_brick,mu_dais.slr_brick,nu_dais.slr_brick,P0_dais.slr_brick,kappa_dais.slr_brick,f0_dais.slr_brick,h0_dais.slr_brick,c_dais.slr_brick,b0_dais.slr_brick,slope_dais.slr_brick,lambda_dais.slr_brick,Tcrit_dais.slr_brick,offset.ocheat_obs,sigma.ocheat_obs,rho.ocheat_obs,leaf
lrl,0.10070493454179255,0.04229607250755287,0.08358509566968782,0.030211480362537766,0.015105740181268883,0.013091641490433032,0.012084592145015106,0.038267875125881166,0.017119838872104734,0.035246727089627394,0.0433031218529708,0.03323262839879154,0.00906344410876133,0.019133937562940583,0.02014098690835851,0.019133937562940583,0.013091641490433032,0.012084592145015106,0.011077542799597181,0.012084592145015106,0.02416918429003021,0.015105740181268883,0.01812688821752266,0.008056394763343404,0.013091641490433032,0.01812688821752266,0.0513595166163142,0.016112789526686808,0.017119838872104734,0.014098690835850957,0.013091641490433032,0.012084592145015106,0.03927492447129909,0.019133937562940583,0.045317220543806644,0.0,0.0,0.0,0.09566968781470292
lrll,0.07349665924276169,0.030066815144766147,0.053452115812917596,0.031180400890868598,0.01670378619153675,0.015590200445434299,0.021158129175946547,0.017817371937639197,0.01893095768374165,0.0378619153674833,0.0378619153674833,0.017817371937639197,0.013363028953229399,0.017817371937639197,0.014476614699331848,0.01893095768374165,0.015590200445434299,0.0200445434298441,0.01002227171492205,0.014476614699331848,0.013363028953229399,0.024498886414253896,0.015590200445434299,0.022271714922048998,0.015590200445434299,0.01002227171492205,0.0400890868596882,0.01002227171492205,0.015590200445434299,0.0200445434298441,0.017817371937639197,0.014476614699331848,0.035634743875278395,0.025612472160356347,0.028953229398663696,0.0,0.0,0.0,0.19376391982182628
lrlr,0.08240534521158129,0.030066815144766147,0.06904231625835189,0.015590200445434299,0.017817371937639197,0.013363028953229399,0.015590200445434299,0.028953229398663696,0.017817371937639197,0.043429844097995544,0.034521158129175944,0.031180400890868598,0.01002227171492205,0.034521158129175944,0.017817371937639197,0.025612472160356347,0.013363028953229399,0.012249443207126948,0.015590200445434299,0.013363028953229399,0.024498886414253896,0.015590200445434299,0.012249443207126948,0.011135857461024499,0.017817371937639197,0.017817371937639197,0.0467706013363029,0.01670378619153675,0.028953229398663696,0.014476614699331848,0.008908685968819599,0.017817371937639197,0.0378619153674833,0.017817371937639197,0.053452115812917596,0.0,0.0,0.0,0.11581291759465479
lrr,0.10372608257804633,0.04028197381671702,0.08459214501510574,0.032225579053373615,0.008056394763343404,0.016112789526686808,0.015105740181268883,0.041289023162134945,0.027190332326283987,0.03927492447129909,0.041289023162134945,0.027190332326283987,0.008056394763343404,0.030211480362537766,0.016112789526686808,0.025176233635448138,0.010070493454179255,0.012084592145015106,0.015105740181268883,0.01812688821752266,0.016112789526686808,0.01812688821752266,0.013091641490433032,0.017119838872104734,0.014098690835850957,0.014098690835850957,0.04934541792547835,0.013091641490433032,0.021148036253776436,0.02014098690835851,0.013091641490433032,0.012084592145015106,0.03927492447129909,0.01812688821752266,0.06042296072507553,0.0,0.0,0.0,0.04934541792547835
lrrl,0.07521186440677965,0.026483050847457626,0.05826271186440678,0.03283898305084746,0.01694915254237288,0.015889830508474576,0.012711864406779662,0.03283898305084746,0.03072033898305085,0.04449152542372881,0.03177966101694915,0.018008474576271187,0.013771186440677966,0.025423728813559324,0.015889830508474576,0.018008474576271187,0.015889830508474576,0.011652542372881356,0.009533898305084746,0.01694915254237288,0.018008474576271187,0.01059322033898305,0.018008474576271187,0.018008474576271187,0.015889830508474576,0.020127118644067795,0.04025423728813559,0.0211864406779661,0.018008474576271187,0.01694915254237288,0.022245762711864406,0.0211864406779661,0.034957627118644065,0.026483050847457626,0.03072033898305085,0.0,0.0,0.0,0.1440677966101695
lrrr,0.0858050847457627,0.02754237288135593,0.05402542372881356,0.0211864406779661,0.01694915254237288,0.00847457627118644,0.009533898305084746,0.046610169491525424,0.03177966101694915,0.04343220338983051,0.04449152542372881,0.026483050847457626,0.006355932203389831,0.03072033898305085,0.01059322033898305,0.011652542372881356,0.012711864406779662,0.00847457627118644,0.011652542372881356,0.022245762711864406,0.018008474576271187,0.00847457627118644,0.020127118644067795,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.05402542372881356,0.015889830508474576,0.018008474576271187,0.020127118644067795,0.018008474576271187,0.014830508474576272,0.04025423728813559,0.025423728813559324,0.04343220338983051,0.0,0.0,0.0,0.12182203389830508
r,0.166,0.071,0.129,0.034,0.002,0.004,0.002,0.058,0.016,0.034,0.033,0.027,0.004,0.015,0.005,0.007,0.006,0.013,0.002,0.006,0.012,0.007,0.004,0.015,0.004,0.009,0.092,0.006,0.009,0.008,0.004,0.008,0.054,0.025,0.106,0.0,0.0,0.0,0.003
rl,0.13239719157472418,0.062186559679037114,0.11133400200601805,0.03009027081243731,0.006018054162487462,0.007021063189568706,0.004012036108324975,0.04613841524573721,0.01905717151454363,0.04312938816449348,0.04613841524573721,0.026078234704112337,0.007021063189568706,0.028084252758274825,0.011033099297893681,0.013039117352056168,0.009027081243731194,0.006018054162487462,0.009027081243731194,0.009027081243731194,0.014042126379137413,0.023069207622868605,0.004012036108324975,0.015045135406218655,0.009027081243731194,0.011033099297893681,0.07823470411233702,0.004012036108324975,0.015045135406218655,0.009027081243731194,0.012036108324974924,0.00802407221664995,0.04012036108324975,0.02106318956870612,0.08224674022066199,0.0,0.0,0.0,0.028084252758274825
rll,0.09803921568627451,0.03508771929824561,0.07017543859649122,0.026831785345717233,0.013415892672858616,0.006191950464396285,0.010319917440660475,0.034055727554179564,0.025799793601651185,0.05985552115583075,0.043343653250773995,0.026831785345717233,0.009287925696594427,0.017543859649122806,0.016511867905056758,0.015479876160990712,0.017543859649122806,0.022703818369453045,0.009287925696594427,0.009287925696594427,0.022703818369453045,0.018575851393188854,0.011351909184726523,0.0196078431372549,0.014447884416924664,0.011351909184726523,0.0629514963880289,0.018575851393188854,0.013415892672858616,0.01238390092879257,0.009287925696594427,0.014447884416924664,0.05263157894736842,0.015479876160990712,0.05572755417956656,0.0,0.0,0.0,0.07946336429308566
rlll,0.07399103139013453,0.026905829596412557,0.05605381165919283,0.03139013452914798,0.007847533632286996,0.017937219730941704,0.013452914798206279,0.020179372197309416,0.020179372197309416,0.03923766816143498,0.030269058295964126,0.02242152466367713,0.01233183856502242,0.023542600896860985,0.01905829596412556,0.020179372197309416,0.01233183856502242,0.02466367713004484,0.016816143497757848,0.020179372197309416,0.021300448430493273,0.020179372197309416,0.014573991031390135,0.011210762331838564,0.011210762331838564,0.013452914798206279,0.05044843049327354,0.01569506726457399,0.013452914798206279,0.017937219730941704,0.017937219730941704,0.010089686098654708,0.02914798206278027,0.021300448430493273,0.04820627802690583,0.0,0.0,0.0,0.17488789237668162
